date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:52	297/297	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:49%20GMT	http://doc.superbtc.org/en/release/v0.8.0	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.8.0	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:53	298/298	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:49%20GMT	http://doc.superbtc.org/en/release/v0.11.2	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.11.2	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:53	10365/10365	---M-Z	200	added ('OK')	text/html	etag:%22287d-5610fab6cef00-gzip%22	http://doc.superbtc.org/en/glossary/op-code.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/op-code.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:53	10596/10596	---M-Z	200	added ('OK')	text/html	etag:%222964-5610fea212e00-gzip%22	http://doc.superbtc.org/en/glossary/txid.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/txid.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:53	11649/11649	---M-Z	200	added ('OK')	text/html	etag:%222d81-5610fef416f80-gzip%22	http://doc.superbtc.org/en/glossary/input.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/input.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:53	11711/11711	---M-Z	200	added ('OK')	text/html	etag:%222dbf-5610fa5770e00-gzip%22	http://doc.superbtc.org/en/glossary/output.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/output.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:54	10914/10914	---M-Z	200	added ('OK')	text/html	etag:%222aa2-5610fbdc8a400-gzip%22	http://doc.superbtc.org/en/glossary/block-chain.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/block-chain.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:54	11657/11657	---M-Z	200	added ('OK')	text/html	etag:%222d89-5610fb7b43e80-gzip%22	http://doc.superbtc.org/en/glossary/merkle-tree.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/merkle-tree.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:54	11708/11708	---M-Z	200	added ('OK')	text/html	etag:%222dbc-5610e1e56e180-gzip%22	http://doc.superbtc.org/en/glossary/difficulty.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/difficulty.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:12:54	11612/11612	---M-Z	200	added ('OK')	text/html	etag:%222d5c-5610e1c319080-gzip%22	http://doc.superbtc.org/en/glossary/mainnet.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/mainnet.html	(from http://doc.superbtc.org/en/developer-reference.html)
